"treatment","average_body_weight","length_cm","volume_ml"
"With Treatment","24.731927841561784","11.040680967694508","70.0826046070844"
"With Treatment","21.239546343558484","14.216627643379196","59.35616294612598"
"With Treatment","25.56228695955381","13.637931330261637","66.9524876622019"
"With Treatment","30.376664210244144","11.879522870250652","64.28755041068713"
"With Treatment","20.71215643902165","13.353564586978042","78.84560267825788"
"With Treatment","20.71224673677951","12.35231008690413","68.79862927631335"
"With Treatment","30.68567048529065","13.449738159552746","69.71362928282723"
"With Treatment","26.220891010341","14.656687483946303","61.46935337265286"
"With Treatment","19.417890877357763","16.689236995519774","60.63633153520258"
"With Treatment","24.98408023972281","10.476805902580931","61.24185993398417"
"With Treatment","19.45120268953146","17.89267342424379","70.33897356616127"
"With Treatment","19.43848635536359","8.905406841050496","61.36917071097711"
"With Treatment","23.33079249361319","12.866072790921718","69.18752342586055"
"With Treatment","11.476958654382113","14.49429785426607","88.82940878509983"
"With Treatment","12.51295192117832","13.818182109017071","75.58237173774863"
"With Treatment","18.90741858917465","11.830061056394696","62.41374114615376"
"With Treatment","16.42942883816067","12.742131049213995","79.21335314380339"
"With Treatment","23.728360329274008","12.115397943750567","61.51117089676294"
"With Treatment","17.00586758463334","11.903397534722735","43.58063011304361"
"With Treatment","14.232329642655898","15.069124613446256","54.91105057990856"
"With Treatment","30.06106822906855","13.985434069123103","45.4212888687156"
"With Treatment","20.75823034732406","11.675598890426562","62.13335167554561"
"With Treatment","22.371405125783586","15.179119725953152","66.20260217108508"
"With Treatment","14.16388497582599","13.87605894592854","84.44081043502811"
"With Treatment","19.0058950151115","14.988296661445712","69.59620111140579"
"With Treatment","22.610074243404267","14.585183452231949","63.5898941831025"
"With Treatment","15.669535324177335","11.376210975971444","75.12346139301839"
"With Treatment","24.0663391009012","11.967601711566669","41.67751160091327"
"With Treatment","18.696487205446573","14.844045931271175","68.59176013919422"
"With Treatment","20.39568437613698","14.542814583953623","74.47951713275664"
"With Treatment","18.69061363273832","13.154016493278874","49.73555129642175"
"With Treatment","32.18753001479916","13.45812024327932","78.58129447527622"
"With Treatment","21.925765263941365","16.010862770734533","69.72346048243857"
"With Treatment","16.18258989074255","11.898542944561177","61.43183294709119"
"With Treatment","26.52399701656753","14.403614238574084","72.96060052716913"
"With Treatment","15.285359925159378","12.755176164645436","90.97762143584836"
"With Treatment","23.14874977252616","12.721101352900115","68.00052880564346"
"With Treatment","11.221814318661234","15.61730907437182","68.73042644930369"
"With Treatment","14.694976731058633","15.015915967773669","60.94703010505732"
"With Treatment","23.08273679728018","14.989721199201409","56.65171193588729"
"With Treatment","26.06156618997476","16.072053375739525","75.13369398198671"
"With Treatment","22.94252554654484","13.246208451592071","56.58307791500247"
"With Treatment","21.36393444686468","14.70029653684892","66.78722860941332"
"With Treatment","20.34392967425892","12.517413135494396","60.74576808558372"
"With Treatment","13.86812905297915","13.913165975474572","71.26877808321031"
"With Treatment","18.040856853829105","12.913685280391094","69.67028315815644"
"With Treatment","19.46648675972117","13.41339112298398","77.4129393868369"
"With Treatment","27.81417224420404","14.50934545596121","60.38981961259778"
"With Treatment","23.889900592626542","11.39991449688636","63.03137571177293"
"With Treatment","12.303279145504964","17.803252006508014","55.23359912639463"
"With Treatment","23.782461831671373","10.986761760700656","61.11277413916277"
"With Treatment","19.88204745771026","10.528785051866992","70.15030542349338"
"With Treatment","18.276928998317228","15.74784392170015","74.32687478309887"
"With Treatment","25.36421958862477","14.94165792671846","55.85618143404613"
"With Treatment","27.67049737372773","14.573063597514745","75.56566512116227"
"With Treatment","27.12204065513909","14.582360120381416","80.91201644685447"
"With Treatment","17.38430362227549","13.17305709973679","70.54778393546071"
"With Treatment","20.299331932818323","11.22604038273117","86.64475393813873"
"With Treatment","23.82194887271961","13.3667700280262","57.4883188098607"
"With Treatment","27.36549819917298","11.710244234673356","52.30879826357442"
"With Treatment","19.364541691850903","15.345263413519053","46.43407726205295"
"With Treatment","20.978875628349005","12.876473760695296","82.45648742638102"
"With Treatment","15.915157642966848","11.383906167056477","73.19802221989464"
"With Treatment","15.420863567556314","12.492951148363415","65.388568619985"
"With Treatment","26.46889202316809","14.108449199406376","69.07965488951803"
"With Treatment","29.45932015713953","11.959805983831256","53.61962047971786"
"With Treatment","21.603944331308163","11.391115129753851","92.9032717757851"
"With Treatment","27.51943093840613","13.736111865282208","67.42143300172751"
"With Treatment","23.98899813776199","13.738926456439192","67.20334274065382"
"With Treatment","18.45184134967182","12.084725014183515","73.9834328628856"
"With Treatment","23.98767583029628","12.16371572763969","71.29110154910386"
"With Treatment","30.45920111556284","13.7105098621868","68.46272426707044"
"With Treatment","21.80295678489527","10.014214448705888","57.30478099010158"
"With Treatment","30.605540106977035","10.10357969637158","71.18615192849596"
"With Treatment","7.591401927506406","11.619422713244642","86.70226946122538"
"With Treatment","26.52046377406373","12.730416266233938","80.79962050770476"
"With Treatment","22.478758875309943","13.88399664431561","83.52505289303338"
"With Treatment","20.35545957243773","16.445783677289015","60.376627559256974"
"With Treatment","22.504684270945265","15.086851171044444","55.11434697715561"
"With Treatment","11.06837096969509","12.84813523408046","64.61634387890388"
"With Treatment","20.791804616893685","13.158164342614086","66.61297403517564"
"With Treatment","23.964119143314605","10.99443539779682","78.03610670318044"
"With Treatment","30.12841724607834","13.159271100816742","47.382889073136994"
"With Treatment","19.14951379949494","12.564950994375698","82.82505351406677"
"With Treatment","17.553285184087468","13.909980832743798","64.26191311563112"
"With Treatment","19.24033626028505","11.38009192418489","61.30430823057839"
"With Treatment","27.03471164736141","14.34256233133058","54.86685187213816"
"With Treatment","23.808131103128268","16.57202560860567","47.79657660947654"
"With Treatment","19.08631887928129","12.960727673394912","75.05487642358106"
"With Treatment","24.82297088212346","14.083765788617672","66.80649763907245"
"With Treatment","22.533926521414223","14.718316781764448","51.810430102848414"
"With Treatment","27.327547447930893","12.31731496185116","51.75413350730023"
"With Treatment","18.138707983674564","13.693003459982918","62.3063683078086"
"With Treatment","20.197858193712275","13.22770328171995","84.35923677818332"
"With Treatment","19.84340515777313","13.414887416807431","63.14449513500036"
"With Treatment","13.95066778527335","11.499378475517974","49.46542751570084"
"With Treatment","23.62866152385517","13.253922383369677","63.29682629505462"
"With Treatment","23.4358039969894","14.295596240739991","63.00004073277562"
"With Treatment","22.02812401153353","16.392515937149092","36.33424692764272"
"With Treatment","20.70977076643669","15.310395817387455","65.40275646830408"
"With Treatment","14.215460918722725","17.937001406525425","63.45972016770455"
"With Treatment","19.68645072479053","11.511835361646291","73.6582700129476"
"With Treatment","20.115070159102768","15.119105400785491","86.3385170443988"
"With Treatment","17.587475019281097","13.603352412624377","78.39221532502533"
"With Treatment","21.11292858583695","18.01756645307888","63.04222440389687"
