generation,best_fitness,average_fitness
1,1907.7163685440235,1839.8677282782544
2,1908.9968245402413,1870.3685000058033
3,1915.1582081178587,1890.2176861801738
4,1916.502785942316,1904.3282131595856
5,1917.5229808061686,1909.9379660041893
6,1918.8191778247312,1913.20059063788
7,1919.4443315914398,1915.3598412010474
8,1920.279181457635,1916.941074766475
9,1921.433353584529,1917.9654835467504
10,1922.244645157461,1918.7606330360043
11,1922.244645157461,1919.7259426024227
12,1922.7519056625147,1920.180054937658
13,1922.7519056625147,1920.5345732976482
14,1922.7634342072283,1920.9664296280623
15,1923.0384000882937,1921.5120142361106
16,1923.0384000882937,1921.7406141336446
17,1923.0384000882937,1921.6752902549313
18,1923.2306621739394,1921.7951559817525
19,1923.2707703405206,1921.9630631674368
20,1923.2707703405206,1921.8880355920694
21,1923.2707703405206,1921.941947878281
22,1923.3851346640006,1922.221781206865
23,1923.3851346640006,1922.306932411553
24,1923.3851346640006,1922.2092192326702
25,1923.4815041797194,1922.2606687193702
26,1923.4815041797194,1922.4900495706217
27,1923.4815041797194,1922.4924983929884
28,1923.4958788211716,1922.832039301305
29,1923.5257319860916,1922.9120720314827
30,1923.5257319860916,1922.8768082158963
31,1923.5401066275438,1922.4163337548976
32,1923.5555548698524,1922.5161594843812
33,1923.641275985727,1922.5320050755195
34,1923.641275985727,1922.6693806928008
35,1923.6804226883482,1922.733553319234
36,1923.6804226883482,1922.664964358142
37,1923.6804226883482,1922.367748943737
38,1923.6804226883482,1922.8030636139808
39,1923.708018327775,1922.6994781743465
40,1923.708018327775,1922.4019662751114
41,1923.708018327775,1922.6207528561285
42,1923.7355602837652,1922.6865294482657
43,1923.7355602837652,1922.417449544542
44,1923.7355602837652,1922.6328115217354
45,1923.7355602837652,1922.7851560727452
46,1923.7532548650272,1922.8361086392347
47,1923.7532548650272,1922.8457481538276
48,1923.7532548650272,1922.502439692638
49,1923.7532548650272,1922.6453168342537
50,1923.7808799717418,1922.8392954987942
51,1923.7808799717418,1922.4403232992481
